ordem,criticidade,severidade,quadrante
1,5.0,5.0,Q1
2,5.0,4.5,Q1
3,4.5,5.0,Q1
4,4.5,4.5,Q1
5,5.0,4.0,Q1
6,4.0,5.0,Q1
7,4.5,4.0,Q1
8,4.0,4.5,Q1
9,4.0,4.0,Q1
10,5.0,3.5,Q1
11,3.5,5.0,Q1
12,4.5,3.5,Q1
13,3.5,4.5,Q1
14,4.0,3.5,Q1
15,3.5,4.0,Q1
16,5.0,3.0,Q1
17,3.0,5.0,Q1
18,4.5,3.0,Q1
19,3.0,4.5,Q1
20,3.5,3.5,Q1
21,4.0,3.0,Q1
22,3.0,4.0,Q1
23,3.5,3.0,Q1
24,3.0,3.5,Q1
25,3.0,3.0,Q1
26,5.0,2.5,Q2
27,4.5,2.5,Q2
28,4.0,2.5,Q2
29,3.5,2.5,Q2
30,5.0,2.0,Q2
31,4.5,2.0,Q2
32,4.0,2.0,Q2
33,3.0,2.5,Q2
34,3.5,2.0,Q2
35,5.0,1.5,Q2
36,4.5,1.5,Q2
37,3.0,2.0,Q2
38,4.0,1.5,Q2
39,3.5,1.5,Q2
40,5.0,1.0,Q2
41,4.5,1.0,Q2
42,3.0,1.5,Q2
43,4.0,1.0,Q2
44,3.5,1.0,Q2
45,3.0,1.0,Q2
46,2.5,5.0,Q3
47,2.5,4.5,Q3
48,2.5,4.0,Q3
49,2.5,3.5,Q3
50,2.0,5.0,Q3
51,2.0,4.5,Q3
52,2.0,4.0,Q3
53,2.5,3.0,Q3
54,2.0,3.5,Q3
55,1.5,5.0,Q3
56,1.5,4.5,Q3
57,2.0,3.0,Q3
58,1.5,4.0,Q3
59,1.5,3.5,Q3
60,1.0,5.0,Q3
61,1.5,3.0,Q3
62,1.0,4.5,Q3
63,1.0,4.0,Q3
64,1.0,3.5,Q3
65,1.0,3.0,Q3
66,2.5,2.5,Q4
67,2.5,2.0,Q4
68,2.0,2.5,Q4
69,2.0,2.0,Q4
70,2.5,1.5,Q4
71,1.5,2.5,Q4
72,2.0,1.5,Q4
73,1.5,2.0,Q4
74,2.5,1.0,Q4
75,1.0,2.5,Q4
76,1.5,1.5,Q4
77,2.0,1.0,Q4
78,1.0,2.0,Q4
79,1.5,1.0,Q4
80,1.0,1.5,Q4
81,1.0,1.0,Q4
