ordem,esforco,valor,quadrante
1,1.0,5.0,Q1
2,1.0,4.5,Q1
3,1.5,5.0,Q1
4,1.5,4.5,Q1
5,1.0,4.0,Q1
6,2.0,5.0,Q1
7,1.5,4.0,Q1
8,2.0,4.5,Q1
9,2.0,4.0,Q1
10,1.0,3.5,Q1
11,2.5,5.0,Q1
12,1.5,3.5,Q1
13,2.5,4.5,Q1
14,2.0,3.5,Q1
15,2.5,4.0,Q1
16,1.0,3.0,Q1
17,1.5,3.0,Q1
18,2.5,3.5,Q1
19,2.0,3.0,Q1
20,2.5,3.0,Q1
21,3.0,5.0,Q2
22,3.0,4.5,Q2
23,3.0,4.0,Q2
24,3.0,3.5,Q2
25,3.5,5.0,Q2
26,3.5,4.5,Q2
27,3.5,4.0,Q2
28,3.0,3.0,Q2
29,3.5,3.5,Q2
30,4.0,5.0,Q2
31,4.0,4.5,Q2
32,4.0,4.0,Q2
33,3.5,3.0,Q2
34,4.0,3.5,Q2
35,4.5,5.0,Q2
36,4.5,4.5,Q2
37,4.0,3.0,Q2
38,4.5,4.0,Q2
39,4.5,3.5,Q2
40,5.0,5.0,Q2
41,4.5,3.0,Q2
42,5.0,4.5,Q2
43,5.0,4.0,Q2
44,5.0,3.5,Q2
45,5.0,3.0,Q2
46,1.0,2.5,Q3
47,1.5,2.5,Q3
48,2.0,2.5,Q3
49,2.5,2.5,Q3
50,1.0,2.0,Q3
51,1.5,2.0,Q3
52,2.0,2.0,Q3
53,2.5,2.0,Q3
54,1.0,1.5,Q3
55,1.5,1.5,Q3
56,2.0,1.5,Q3
57,2.5,1.5,Q3
58,1.0,1.0,Q3
59,1.5,1.0,Q3
60,2.0,1.0,Q3
61,2.5,1.0,Q3
62,3.0,2.5,Q4
63,3.5,2.5,Q4
64,3.0,2.0,Q4
65,3.5,2.0,Q4
66,4.0,2.5,Q4
67,3.0,1.5,Q4
68,4.0,2.0,Q4
69,3.5,1.5,Q4
70,4.5,2.5,Q4
71,3.0,1.0,Q4
72,4.0,1.5,Q4
73,4.5,2.0,Q4
74,3.5,1.0,Q4
75,5.0,2.5,Q4
76,4.5,1.5,Q4
77,4.0,1.0,Q4
78,5.0,2.0,Q4
79,4.5,1.0,Q4
80,5.0,1.5,Q4
81,5.0,1.0,Q4
